account, age, zipcode, balance
0, 629685517, 439573876, 130
12, 764679698, 96084820, 96
99, 837530804, 146314388, 103
145, 96667940, 69615020, 122
153, 629685517, 111389435, 128
218, 406302135, 182354244, 70
228, 88045210, 173694840, 106
327, 259581881, 578968633, 123
418, 586374640, 20614770, 147
469, 28103145, 235477220, 146
554, 629685517, 181587353, 114
557, 12151967, 96084820, 152
578, 623785480, 181318520, 88
670, 315333170, 521457794, 99
769, 248153406, 819615935, 124
802, 20075000, 799125150, 93
814, 183544850, 652105819, 64
838, 359227652, 532312548, 94
858, 379911510, 819615935, 81
956, 494554820, 435404010, 116
1008, 127226060, 235477220, 131
1085, 56961008, 618708960, 138
1165, 297337679, 937642250, 139
1258, 39929743, 501267488, 110
1272, 447911632, 711987050, 152
1328, 56961008, 578968633, 61
1422, 11214290, 161784380, 118
1462, 629685517, 176523940, 139
1470, 30638311, 518052940, 158
1551, 12614864, 176523940, 64
1640, 55396244, 618708960, 140
1681, 56961008, 646910300, 73
1699, 11162028, 718997845, 111
1773, 164457508, 435404010, 121
1776, 36922660, 211330256, 125
1791, 12614864, 756013616, 152
1812, 300045340, 27839087, 100
1879, 55396244, 718997845, 103
1896, 61520871, 477356001, 146
1913, 204486968, 2482218, 86
2012, 248153406, 15052428, 69
2095, 11214290, 54150681, 85
2099, 74504084, 477356001, 100
2114, 12151967, 264232468, 71
2194, 650900167, 819615935, 117
2239, 141752108, 487001714, 126
2284, 55293585, 8971211, 133
2286, 29259033, 27839087, 69
2344, 11214290, 799125150, 119
2370, 236933627, 718997845, 113
2374, 89578145, 264232468, 137
2449, 11214290, 711987050, 121
2546, 74187395, 385337810, 129
2606, 607523860, 111389435, 114
2618, 439242441, 181912240, 110
2702, 315333170, 25328147, 87
2720, 629685517, 711987050, 108
2776, 95236028, 215912739, 110
2817, 164457508, 190750892, 123
2853, 183544850, 489900656, 69
2928, 466630520, 84967280, 153
2998, 132143500, 52291126, 126
3081, 191434445, 323491643, 112
3103, 345853916, 215912739, 79
3167, 2658025, 190750892, 121
3264, 11162028, 176523940, 91
3300, 198618830, 994531888, 75
3346, 54554568, 289941245, 131
3421, 2658025, 176523940, 64
3424, 639755404, 819615935, 134
3501, 20075000, 994531888, 135
3585, 89578145, 43179310, 102
3685, 141752108, 182354244, 61
3769, 116487850, 170312826, 148
3812, 39929743, 171310368, 136
3903, 29259033, 646910300, 132
3983, 650900167, 269672618, 103
4046, 68901614, 167518517, 86
4053, 813027345, 159560267, 103
4101, 116487850, 357547115, 151
4122, 65984588, 880599990, 100
4175, 61520871, 532312548, 153
4241, 764679698, 766679430, 78
4311, 142037960, 182354244, 75
4378, 61520871, 518052940, 101
4403, 1724295, 60411140, 111
4444, 406302135, 173694840, 137
4539, 717545240, 389817092, 102
